Entities,FPS,Frame Time (s),Physics Time (s),Cache References,Cache Misses,Cache miss rate (%)
3.0,301.56666666666666,0.0018953333333333333,1.81e-05,552827.5666666667,31557.7,0.057139133333333335
5.0,301.6666666666667,0.0033224,2.0333333333333334e-05,658744.5333333333,34410.066666666666,0.05225553333333333
6.966666666666667,301.8,0.003322466666666667,1.9833333333333335e-05,640973.6666666666,32361.366666666665,0.0504936
8.866666666666667,301.8666666666667,0.0033226333333333333,2.1333333333333335e-05,656165.1,34647.46666666667,0.052819533333333335
10.766666666666667,301.96666666666664,0.0033241000000000004,2.063333333333333e-05,653753.9666666667,34332.1,0.0525288
12.633333333333333,302.03333333333336,0.0033237333333333333,2.3599999999999998e-05,631661.0,32097.566666666666,0.050803933333333336
14.433333333333334,302.03333333333336,0.0033226333333333333,2.22e-05,657951.6666666666,33764.26666666667,0.05132543333333333
16.366666666666667,302.03333333333336,0.0033224,2.3e-05,643259.3,32576.5,0.0506204
18.2,302.06666666666666,0.0033243333333333332,2.2633333333333336e-05,652669.2333333333,34090.566666666666,0.0522445
20.0,302.06666666666666,0.003324066666666667,2.33e-05,648306.6666666666,33962.36666666667,0.052404
21.866666666666667,302.06666666666666,0.0033236000000000003,2.396666666666667e-05,636078.7666666667,32410.833333333332,0.05097346666666667
23.633333333333333,302.06666666666666,0.0033239666666666666,2.5666666666666666e-05,662646.8666666667,34641.53333333333,0.05230286666666666
25.433333333333334,302.06666666666666,0.0033238666666666667,2.5799999999999997e-05,645976.1,32940.36666666667,0.050987033333333334
27.166666666666668,302.06666666666666,0.0033222,2.6e-05,667371.0333333333,34900.63333333333,0.052326300000000006
28.766666666666666,302.1,0.0033179,2.67e-05,668638.5666666667,35140.46666666667,0.05257616666666667
30.466666666666665,302.1333333333333,0.0033229333333333333,2.7633333333333332e-05,648896.2666666667,32748.8,0.05047246666666667
32.333333333333336,302.2,0.0033232666666666664,2.803333333333333e-05,667937.7333333333,35079.8,0.05255983333333333
34.166666666666664,302.2,0.0033242,2.8266666666666668e-05,653982.6666666666,33316.933333333334,0.050917033333333334
35.833333333333336,302.23333333333335,0.0033232333333333332,2.9900000000000002e-05,667516.0333333333,34939.6,0.052351433333333336
37.43333333333333,302.26666666666665,0.0033250000000000003,2.86e-05,668706.7666666667,35044.2,0.05244476666666666
39.0,302.26666666666665,0.0033242,3.0166666666666667e-05,652367.8666666667,33171.066666666666,0.050824100000000004
40.9,302.3,0.0033233666666666667,3.1133333333333336e-05,672351.0,34957.833333333336,0.05200526666666667
42.56666666666667,302.3333333333333,0.0033231333333333334,3.116666666666667e-05,663858.5333333333,33454.3,0.050395833333333334
44.233333333333334,302.3333333333333,0.0033239,3.343333333333333e-05,679507.5,35628.166666666664,0.05244596666666667
45.7,302.4,0.0033235,3.1933333333333335e-05,678252.8666666667,35463.2,0.0523072
47.36666666666667,302.4,0.0033242666666666665,3.206666666666666e-05,664728.7333333333,33491.13333333333,0.050392433333333334
48.9,302.4,0.0033250000000000003,3.263333333333334e-05,678296.6666666666,35182.36666666667,0.051885
50.266666666666666,302.4,0.0033236333333333335,3.32e-05,664372.6666666666,33508.066666666666,0.050418399999999995
51.8,302.4,0.0033234333333333334,3.316666666666667e-05,691143.8333333334,35640.4,0.051594633333333334
53.2,302.4,0.0033245,3.51e-05,688282.6666666666,35755.86666666667,0.051976
54.766666666666666,300.0,0.0033212333333333334,4.096666666666667e-05,679499.6,34352.566666666666,0.050561133333333334
56.333333333333336,300.0,0.003319733333333333,4.323333333333333e-05,723078.3666666667,38206.03333333333,0.052826366666666666
57.9,300.0,0.0033184,4.4500000000000004e-05,720984.5666666667,38089.86666666667,0.05285046666666667
59.6,300.0,0.0033285,4.38e-05,722209.8,39027.73333333333,0.054074199999999996
61.233333333333334,300.0,0.0033208333333333336,4.703333333333333e-05,727528.7,38517.03333333333,0.05302626666666667
62.93333333333333,300.0,0.003321766666666667,4.42e-05,699125.9666666667,35756.6,0.051135766666666665
64.6,300.0,0.0033217,4.653333333333334e-05,716094.9,38025.6,0.05311303333333333
66.16666666666667,300.0,0.0033215666666666665,4.523333333333333e-05,719426.6666666666,36676.46666666667,0.051010433333333334
67.8,300.03333333333336,0.0033239333333333334,4.703333333333333e-05,731435.7,39302.46666666667,0.053749599999999995
69.3,300.06666666666666,0.0033206,4.8133333333333336e-05,725190.8666666667,38424.566666666666,0.0529892
70.9,300.06666666666666,0.003322166666666667,4.94e-05,712006.0333333333,36412.166666666664,0.051130133333333334
72.46666666666667,300.1,0.0033222333333333335,5.1466666666666666e-05,738591.8,38854.03333333333,0.0526441
74.03333333333333,300.1333333333333,0.0033203,4.910000000000001e-05,720325.3333333334,36723.36666666667,0.050939
75.83333333333333,300.1333333333333,0.003321266666666667,5.21e-05,740421.2666666667,39146.0,0.052888700000000004
77.3,300.1,0.003322666666666667,5.046666666666666e-05,734888.9333333333,38972.4,0.0530528
78.86666666666666,300.1333333333333,0.0033203666666666667,5.1200000000000004e-05,710571.2,36068.63333333333,0.05080136666666667
80.4,300.1333333333333,0.0033252,5.1666666666666664e-05,741101.6333333333,37478.6,0.0506325
81.93333333333334,300.1666666666667,0.0033216,5.296666666666666e-05,719573.3,36526.7,0.050719966666666665
83.43333333333334,300.2,0.0033166333333333334,5.0866666666666665e-05,731668.1,37909.433333333334,0.051814099999999995
84.96666666666667,300.2,0.003322733333333333,5.193333333333333e-05,736496.9666666667,37746.53333333333,0.05130913333333333
86.6,300.23333333333335,0.003319466666666667,4.99e-05,717150.5333333333,35477.0,0.0494681
88.13333333333334,300.3,0.0033205666666666664,5.016666666666667e-05,730156.1666666666,37286.8,0.0510742
89.7,300.26666666666665,0.003325233333333333,5.206666666666667e-05,722216.7333333333,35789.96666666667,0.049572366666666666
91.36666666666666,300.3,0.003322966666666667,5.2833333333333335e-05,745397.5,38075.833333333336,0.051118699999999996
92.83333333333333,300.3666666666667,0.0033222333333333335,5.4800000000000004e-05,748273.1333333333,38961.36666666667,0.05206946666666667
94.53333333333333,300.43333333333334,0.0033221333333333333,5.543333333333333e-05,749177.1333333333,36675.166666666664,0.0489556
95.96666666666667,300.43333333333334,0.0033227,5.62e-05,766633.0,38478.3,0.050228300000000004
97.53333333333333,300.46666666666664,0.003321366666666667,5.84e-05,748681.5,36401.2,0.04863736666666667
98.93333333333334,300.46666666666664,0.0033214666666666667,5.963333333333333e-05,768496.0333333333,38912.833333333336,0.050683066666666665
100.6,300.53333333333336,0.0033232666666666664,5.856666666666666e-05,772642.1,39530.76666666667,0.0511954
102.26666666666667,300.5,0.0033192666666666667,6.07e-05,754316.8666666667,37051.13333333333,0.0490938
103.76666666666667,300.56666666666666,0.0033219,5.883333333333334e-05,782262.5333333333,39584.46666666667,0.05063043333333333
105.46666666666667,300.6333333333333,0.0033206666666666666,6.316666666666667e-05,775864.5666666667,38497.833333333336,0.049587000000000006
107.2,300.6333333333333,0.0033223666666666665,5.793333333333333e-05,787746.1333333333,39635.433333333334,0.05034126666666667
108.7,300.6666666666667,0.003320433333333333,6.0633333333333334e-05,792256.0333333333,39783.933333333334,0.05022806666666667
110.26666666666667,300.6666666666667,0.0033230333333333336,6.08e-05,764550.4,36948.26666666667,0.0483398
112.0,300.6333333333333,0.0033225,5.853333333333333e-05,789015.0333333333,38814.666666666664,0.0492152
113.53333333333333,300.6,0.0033230333333333336,6.133333333333334e-05,766629.6,36826.6,0.0480467
115.06666666666666,300.6,0.003324866666666667,5.72e-05,782614.6666666666,38776.96666666667,0.049610133333333334
