frame,nb of entities,FPS,frame length,physics length,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-load-miss-ratio
0,3,302,0.001654,0.000036,421296.000000,31626.000000,0.075068
1,4,302,0.003298,0.000024,574261.000000,32472.000000,0.056546
2,5,302,0.003328,0.000024,546889.000000,32208.000000,0.058893
3,6,302,0.003322,0.000031,599791.000000,33228.000000,0.055399
4,7,302,0.003322,0.000026,580996.000000,32511.000000,0.055957
5,8,302,0.003321,0.000029,556109.000000,29320.000000,0.052723
6,9,302,0.003326,0.000027,592452.000000,33529.000000,0.056594
7,10,302,0.003322,0.000029,603078.000000,33371.000000,0.055334
8,11,302,0.003326,0.000034,585851.000000,33202.000000,0.056673
9,11,302,0.003327,0.000025,565401.000000,32835.000000,0.058074
10,12,302,0.003320,0.000034,542776.000000,29447.000000,0.054253
11,13,302,0.003328,0.000034,592140.000000,33965.000000,0.057360
12,14,302,0.003312,0.000065,619333.000000,39812.000000,0.064282
13,15,302,0.003323,0.000033,624215.000000,34037.000000,0.054528
14,16,302,0.003324,0.000036,600732.000000,33237.000000,0.055328
15,17,302,0.003325,0.000036,599134.000000,30535.000000,0.050965
16,18,302,0.003326,0.000034,598704.000000,33976.000000,0.056749
17,19,302,0.003316,0.000059,624571.000000,40970.000000,0.065597
18,20,302,0.003323,0.000126,810904.000000,43549.000000,0.053704
19,21,302,0.003323,0.000083,748913.000000,42978.000000,0.057387
20,22,302,0.003323,0.000090,707093.000000,38339.000000,0.054221
21,23,302,0.003330,0.000100,764928.000000,43720.000000,0.057156
22,24,302,0.003313,0.000145,773315.000000,50469.000000,0.065263
23,25,302,0.003323,0.000107,767157.000000,42579.000000,0.055502
24,26,302,0.003329,0.000117,766343.000000,42950.000000,0.056045
25,27,302,0.003317,0.000103,731633.000000,39002.000000,0.053308
26,28,302,0.003332,0.000096,744536.000000,43258.000000,0.058101
27,28,303,0.003318,0.000184,764313.000000,51363.000000,0.067202
28,28,303,0.003316,0.000112,765477.000000,43811.000000,0.057234
29,28,303,0.003324,0.000095,758079.000000,42787.000000,0.056441
30,29,303,0.003327,0.000118,729980.000000,40451.000000,0.055414
31,30,303,0.003317,0.000107,776131.000000,43069.000000,0.055492
32,31,303,0.003329,0.000097,762328.000000,43415.000000,0.056951
33,32,303,0.003315,0.000122,814059.000000,44120.000000,0.054198
34,33,303,0.003323,0.000090,791172.000000,42649.000000,0.053906
35,34,303,0.003324,0.000136,860099.000000,46490.000000,0.054052
36,35,303,0.003328,0.000143,891945.000000,50025.000000,0.056085
37,36,303,0.003318,0.000144,918784.000000,49930.000000,0.054344
38,36,303,0.003324,0.000142,912174.000000,49767.000000,0.054559
39,37,303,0.003328,0.000146,915707.000000,50268.000000,0.054895
40,38,303,0.003318,0.000151,881144.000000,46019.000000,0.052226
41,39,303,0.003324,0.000137,921209.000000,50014.000000,0.054292
42,40,303,0.003331,0.000149,919671.000000,50353.000000,0.054751
43,40,303,0.003316,0.000154,918896.000000,50901.000000,0.055394
44,40,303,0.003323,0.000151,918262.000000,49718.000000,0.054144
45,41,303,0.003328,0.000159,907780.000000,47701.000000,0.052547
46,42,303,0.003319,0.000155,931991.000000,50737.000000,0.054439
47,43,303,0.003324,0.000139,932803.000000,50671.000000,0.054321
48,44,303,0.003325,0.000172,1085591.000000,58783.000000,0.054148
49,45,303,0.003321,0.000157,1073276.000000,57351.000000,0.053435
50,46,303,0.003325,0.000158,1030299.000000,53459.000000,0.051887
51,47,303,0.003325,0.000196,1088174.000000,57689.000000,0.053014
52,48,303,0.003323,0.000140,986251.000000,50911.000000,0.051621
53,48,303,0.003321,0.000150,985578.000000,51210.000000,0.051959
54,48,303,0.003327,0.000143,997528.000000,51483.000000,0.051611
55,48,303,0.003323,0.000131,946204.000000,47832.000000,0.050551
56,49,303,0.003324,0.000155,968864.000000,51128.000000,0.052771
