frame,nb of entities,FPS,frame length,physics length,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-load-miss-ratio
0,3,301,0.002084,0.000026,449163.000000,29134.000000,0.064863
1,4,301,0.003321,0.000027,564360.000000,32793.000000,0.058107
2,5,301,0.003328,0.000037,560073.000000,32637.000000,0.058273
3,6,301,0.003316,0.000033,573274.000000,32698.000000,0.057037
4,7,301,0.003324,0.000033,553552.000000,32623.000000,0.058934
5,8,301,0.003324,0.000047,552565.000000,31068.000000,0.056225
6,9,301,0.003322,0.000034,570339.000000,32899.000000,0.057683
7,10,302,0.003317,0.000035,588597.000000,33292.000000,0.056562
8,11,302,0.003325,0.000044,610768.000000,37353.000000,0.061157
9,12,302,0.003319,0.000045,602772.000000,37285.000000,0.061856
10,13,302,0.003321,0.000048,576726.000000,33119.000000,0.057426
11,14,302,0.003326,0.000048,632484.000000,38355.000000,0.060642
12,15,302,0.003319,0.000050,623464.000000,36968.000000,0.059295
13,16,302,0.003323,0.000050,638309.000000,37880.000000,0.059344
14,17,302,0.003387,0.000055,639496.000000,39001.000000,0.060987
15,18,302,0.003257,0.000058,588553.000000,33836.000000,0.057490
16,19,302,0.003322,0.000059,627881.000000,37218.000000,0.059276
17,20,302,0.003326,0.000059,627727.000000,38622.000000,0.061527
18,21,302,0.003315,0.000052,630813.000000,33354.000000,0.052875
19,22,302,0.003323,0.000048,628652.000000,33231.000000,0.052861
20,23,302,0.003329,0.000171,763265.000000,40111.000000,0.052552
21,24,302,0.003317,0.000088,781572.000000,42962.000000,0.054969
22,25,302,0.003324,0.000104,777414.000000,41825.000000,0.053800
23,26,302,0.003329,0.000093,772925.000000,42467.000000,0.054943
24,27,302,0.003319,0.000107,762512.000000,42658.000000,0.055944
25,28,302,0.003322,0.000107,735370.000000,38552.000000,0.052425
26,28,302,0.003329,0.000106,791410.000000,43073.000000,0.054426
27,28,302,0.003318,0.000138,804938.000000,48902.000000,0.060753
28,29,302,0.003321,0.000140,815501.000000,48575.000000,0.059565
29,30,302,0.003325,0.000145,840762.000000,51651.000000,0.061434
30,31,302,0.003319,0.000147,804104.000000,45995.000000,0.057200
31,31,302,0.003322,0.000137,816590.000000,46721.000000,0.057215
32,32,302,0.003324,0.000145,835487.000000,47792.000000,0.057203
33,33,302,0.003318,0.000147,835070.000000,47997.000000,0.057477
34,34,302,0.003323,0.000202,953716.000000,55547.000000,0.058243
35,35,302,0.003325,0.000197,916877.000000,51035.000000,0.055662
36,36,302,0.003320,0.000247,1060285.000000,62519.000000,0.058964
37,37,302,0.003322,0.000233,1063223.000000,62165.000000,0.058468
38,38,302,0.003324,0.000206,1063524.000000,56349.000000,0.052983
39,39,302,0.003317,0.000195,1037873.000000,55819.000000,0.053782
40,40,302,0.003325,0.000191,990129.000000,51930.000000,0.052448
41,40,302,0.003326,0.000191,1035916.000000,55682.000000,0.053751
42,41,302,0.003320,0.000160,926213.000000,49406.000000,0.053342
43,41,302,0.003320,0.000153,917128.000000,48775.000000,0.053182
44,42,302,0.003331,0.000165,924605.000000,49529.000000,0.053568
45,43,302,0.003319,0.000155,958322.000000,47296.000000,0.049353
46,44,302,0.003322,0.000202,998581.000000,56476.000000,0.056556
47,45,302,0.003324,0.000184,1006683.000000,51414.000000,0.051073
48,46,302,0.003317,0.000195,993799.000000,55574.000000,0.055921
49,47,302,0.003323,0.000174,983019.000000,50492.000000,0.051364
50,48,302,0.003326,0.000184,943877.000000,47282.000000,0.050093
51,48,302,0.003321,0.000157,966286.000000,49293.000000,0.051013
52,49,302,0.003321,0.000173,970995.000000,49496.000000,0.050975
53,50,302,0.003327,0.000177,988305.000000,50820.000000,0.051421
54,51,302,0.003323,0.000168,973018.000000,49534.000000,0.050908
55,51,302,0.003318,0.000174,950034.000000,46613.000000,0.049065
56,52,302,0.003324,0.000177,980858.000000,49833.000000,0.050806
57,52,302,0.003323,0.000167,966823.000000,49382.000000,0.051077
58,53,302,0.003318,0.000184,1013960.000000,51808.000000,0.051095
59,53,302,0.003325,0.000176,1017990.000000,50236.000000,0.049348
60,54,300,0.003327,0.000151,972328.000000,45558.000000,0.046855
61,54,300,0.003318,0.000236,1055421.000000,55841.000000,0.052909
62,55,300,0.003330,0.000162,1050931.000000,51241.000000,0.048758
63,56,300,0.003316,0.000248,1040101.000000,59805.000000,0.057499
64,57,300,0.003324,0.000226,1094500.000000,61937.000000,0.056589
65,58,300,0.003325,0.000263,1059675.000000,61842.000000,0.058359
66,59,301,0.003313,0.000243,1084442.000000,56674.000000,0.052261
67,60,300,0.003325,0.000161,1085944.000000,51923.000000,0.047814
68,61,300,0.003325,0.000198,1067025.000000,51806.000000,0.048552
69,62,300,0.003318,0.000193,1076592.000000,52320.000000,0.048598
70,63,300,0.003323,0.000193,1143301.000000,54163.000000,0.047374
71,64,300,0.003326,0.000231,1172072.000000,57750.000000,0.049272
72,65,300,0.003318,0.000280,1296625.000000,64535.000000,0.049772
73,66,300,0.003326,0.000227,1236110.000000,58973.000000,0.047709
74,67,301,0.003322,0.000345,1270996.000000,78571.000000,0.061818
75,68,300,0.003323,0.000288,1102621.000000,58117.000000,0.052708
76,69,300,0.003319,0.000213,1148938.000000,51955.000000,0.045220
77,70,300,0.003329,0.000179,1158296.000000,52791.000000,0.045576
78,71,300,0.003320,0.000248,1228502.000000,57931.000000,0.047156
79,72,300,0.003321,0.000244,1226887.000000,57818.000000,0.047126
80,73,300,0.003330,0.000252,1193182.000000,54932.000000,0.046038
81,74,300,0.003323,0.000250,1237106.000000,58529.000000,0.047311
82,75,300,0.003314,0.000235,1210327.000000,55186.000000,0.045596
83,75,300,0.003324,0.000223,1188156.000000,53051.000000,0.044650
84,76,300,0.003317,0.000228,1202195.000000,52242.000000,0.043456
85,77,300,0.003325,0.000222,1152608.000000,49968.000000,0.043352
86,78,300,0.003326,0.000263,1285493.000000,59981.000000,0.046660
87,79,300,0.003318,0.000259,1304222.000000,58997.000000,0.045235
88,80,300,0.003324,0.000283,1303592.000000,60107.000000,0.046109
89,80,300,0.003327,0.000228,1191887.000000,53177.000000,0.044616
90,81,300,0.003317,0.000233,1161586.000000,49420.000000,0.042545
91,82,300,0.003325,0.000230,1215434.000000,53754.000000,0.044226
92,83,300,0.003326,0.000237,1228104.000000,53957.000000,0.043935
93,84,300,0.003318,0.000285,1221649.000000,52754.000000,0.043183
94,85,300,0.003323,0.000236,1217667.000000,53280.000000,0.043756
95,85,300,0.003327,0.000240,1185441.000000,49793.000000,0.042004
96,86,300,0.003318,0.000239,1224210.000000,53208.000000,0.043463
97,87,300,0.003325,0.000235,1232757.000000,54301.000000,0.044048
98,88,300,0.003333,0.000263,1272892.000000,54316.000000,0.042671
99,89,300,0.003308,0.000252,1255551.000000,54344.000000,0.043283
100,90,300,0.003324,0.000292,1236271.000000,55448.000000,0.044851
101,91,300,0.003327,0.000248,1281231.000000,54667.000000,0.042668
102,92,300,0.003318,0.000291,1391362.000000,60069.000000,0.043173
103,93,300,0.003324,0.000283,1391986.000000,61404.000000,0.044113
104,94,300,0.003327,0.000327,1513277.000000,67776.000000,0.044788
105,95,300,0.003317,0.000368,1578750.000000,70939.000000,0.044934
106,96,300,0.003325,0.000376,1629985.000000,74294.000000,0.045580
107,97,300,0.003327,0.000362,1629818.000000,74729.000000,0.045851
108,97,300,0.003318,0.000481,1962629.000000,95169.000000,0.048491
109,98,300,0.003323,0.000541,1993948.000000,94484.000000,0.047385
110,99,300,0.003325,0.000537,2078374.000000,96970.000000,0.046657
111,100,300,0.003321,0.000481,1993588.000000,93489.000000,0.046895
112,101,300,0.003322,0.000460,1905171.000000,87659.000000,0.046011
113,102,300,0.003330,0.000450,1905356.000000,87668.000000,0.046011
114,103,300,0.003317,0.000436,1854977.000000,81512.000000,0.043942
115,103,300,0.003320,0.000408,1707839.000000,71949.000000,0.042129
116,104,300,0.003327,0.000359,1756058.000000,75688.000000,0.043101
117,104,300,0.003324,0.000558,1782344.000000,89865.000000,0.050420
118,104,300,0.003320,0.000517,1816507.000000,98930.000000,0.054462
119,105,300,0.003325,0.000417,1784015.000000,76971.000000,0.043145
120,106,300,0.003317,0.000479,1966641.000000,85131.000000,0.043288
121,107,300,0.003324,0.000544,2144280.000000,100219.000000,0.046738
122,107,300,0.003327,0.000598,2158619.000000,99721.000000,0.046197
123,108,300,0.003317,0.000609,2134675.000000,98309.000000,0.046053
124,108,300,0.003329,0.000447,2194163.000000,98037.000000,0.044681
125,109,300,0.003320,0.000733,2201763.000000,106287.000000,0.048274
126,110,300,0.003318,0.000646,2439586.000000,112932.000000,0.046291
127,111,300,0.003322,0.000567,2317633.000000,105482.000000,0.045513
128,112,300,0.003325,0.000546,2388038.000000,106448.000000,0.044576
129,113,300,0.003317,0.000557,2298803.000000,99383.000000,0.043232
130,114,300,0.003322,0.000580,2548833.000000,110129.000000,0.043208
131,115,300,0.003323,0.000677,2608925.000000,118014.000000,0.045235
132,115,300,0.003324,0.000563,2723230.000000,119540.000000,0.043896
133,115,300,0.003320,0.000736,2718591.000000,119440.000000,0.043935
134,115,300,0.003327,0.000626,2710585.000000,119255.000000,0.043996
135,116,300,0.003318,0.000694,2721893.000000,116454.000000,0.042784
136,117,300,0.003324,0.000641,2832848.000000,122600.000000,0.043278
137,118,300,0.003328,0.000666,2821917.000000,123090.000000,0.043619
138,118,300,0.003318,0.000726,2848096.000000,123803.000000,0.043469
139,118,300,0.003324,0.000643,2848327.000000,123693.000000,0.043427
140,119,300,0.003329,0.000683,2833288.000000,120010.000000,0.042357
141,119,300,0.003319,0.000695,2740992.000000,116375.000000,0.042457
142,120,300,0.003324,0.000616,2777832.000000,117067.000000,0.042143
143,120,300,0.003329,0.000578,2609831.000000,107499.000000,0.041190
144,121,300,0.003319,0.000698,2767266.000000,114195.000000,0.041266
145,122,300,0.003324,0.000582,2742087.000000,111772.000000,0.040762
146,123,300,0.003329,0.000634,2772820.000000,114418.000000,0.041264
147,124,300,0.003319,0.000709,2812559.000000,115358.000000,0.041015
148,125,300,0.003323,0.000638,2980114.000000,122431.000000,0.041083
149,126,300,0.003327,0.000683,2956173.000000,123120.000000,0.041648
150,127,300,0.003320,0.000766,2961266.000000,119762.000000,0.040443
151,128,300,0.003322,0.000817,3336989.000000,144949.000000,0.043437
152,129,300,0.003329,0.000843,3473625.000000,150529.000000,0.043335
