frame,nb of entities,FPS,frame length,physics length,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-load-miss-ratio
0,3,302,0.001949,0.000038,442985.000000,30442.000000,0.068720
1,4,302,0.003315,0.000031,571259.000000,33975.000000,0.059474
2,5,302,0.003327,0.000030,552496.000000,32814.000000,0.059392
3,6,302,0.003318,0.000033,586725.000000,34239.000000,0.058356
4,7,302,0.003323,0.000028,593448.000000,33506.000000,0.056460
5,8,302,0.003325,0.000030,551259.000000,29761.000000,0.053987
6,9,302,0.003324,0.000030,586352.000000,33845.000000,0.057721
7,10,302,0.003322,0.000035,582544.000000,33809.000000,0.058037
8,11,302,0.003329,0.000032,570882.000000,33619.000000,0.058890
9,12,302,0.003317,0.000032,582725.000000,34321.000000,0.058897
10,13,302,0.003325,0.000035,554948.000000,29931.000000,0.053935
11,14,302,0.003327,0.000034,594438.000000,34027.000000,0.057242
12,14,302,0.003321,0.000031,580556.000000,33242.000000,0.057259
13,15,302,0.003324,0.000037,611389.000000,33727.000000,0.055165
14,16,302,0.003329,0.000039,592905.000000,33459.000000,0.056432
15,17,302,0.003317,0.000043,563823.000000,30126.000000,0.053432
16,18,302,0.003324,0.000041,597047.000000,33107.000000,0.055451
17,19,302,0.003328,0.000042,601092.000000,33747.000000,0.056143
18,20,302,0.003320,0.000048,604273.000000,33522.000000,0.055475
19,21,302,0.003325,0.000043,604618.000000,33950.000000,0.056151
20,22,302,0.003326,0.000050,585164.000000,30466.000000,0.052064
21,23,302,0.003323,0.000045,629366.000000,34285.000000,0.054475
22,24,302,0.003324,0.000053,613238.000000,33566.000000,0.054736
23,25,302,0.003328,0.000093,656091.000000,38443.000000,0.058594
24,26,302,0.003319,0.000051,634861.000000,33915.000000,0.053421
25,26,302,0.003325,0.000045,583438.000000,29914.000000,0.051272
26,27,302,0.003326,0.000056,642673.000000,34343.000000,0.053438
27,28,302,0.003322,0.000052,653530.000000,34600.000000,0.052943
28,28,302,0.003326,0.000047,648542.000000,34533.000000,0.053247
29,28,302,0.003325,0.000051,685181.000000,35137.000000,0.051281
30,29,302,0.003321,0.000062,673227.000000,31684.000000,0.047063
31,30,302,0.003322,0.000058,670004.000000,35430.000000,0.052880
32,31,302,0.003326,0.000064,675905.000000,34959.000000,0.051722
33,32,302,0.003319,0.000059,723200.000000,35701.000000,0.049365
34,33,302,0.003323,0.000136,854818.000000,44767.000000,0.052370
35,34,302,0.003326,0.000113,794291.000000,41591.000000,0.052362
36,35,302,0.003321,0.000123,878203.000000,44444.000000,0.050608
37,36,302,0.003322,0.000110,842469.000000,44596.000000,0.052935
38,37,302,0.003325,0.000111,844907.000000,43821.000000,0.051865
39,38,302,0.003323,0.000100,892943.000000,44859.000000,0.050237
40,39,302,0.003325,0.000115,797225.000000,40484.000000,0.050781
41,39,302,0.003322,0.000142,868034.000000,45945.000000,0.052930
42,40,302,0.003320,0.000137,856540.000000,44582.000000,0.052049
43,40,302,0.003323,0.000111,840726.000000,43996.000000,0.052331
44,41,302,0.003329,0.000114,837847.000000,43851.000000,0.052338
45,42,302,0.003319,0.000145,833917.000000,41913.000000,0.050260
46,43,302,0.003324,0.000117,841302.000000,44565.000000,0.052971
47,43,302,0.003326,0.000123,860025.000000,44385.000000,0.051609
48,44,302,0.003321,0.000134,862699.000000,45414.000000,0.052642
49,44,302,0.003325,0.000123,840247.000000,43963.000000,0.052322
50,45,302,0.003326,0.000121,824683.000000,41146.000000,0.049893
51,46,302,0.003320,0.000133,867617.000000,44919.000000,0.051773
52,47,302,0.003324,0.000118,861517.000000,44243.000000,0.051355
53,47,302,0.003331,0.000130,893717.000000,46854.000000,0.052426
54,48,302,0.003320,0.000141,944806.000000,45272.000000,0.047917
55,49,302,0.003321,0.000198,887048.000000,48166.000000,0.054299
56,49,302,0.003325,0.000120,875585.000000,44558.000000,0.050889
57,50,302,0.003322,0.000142,942865.000000,45251.000000,0.047993
58,51,302,0.003324,0.000125,889888.000000,44595.000000,0.050113
59,52,302,0.003328,0.000125,916341.000000,45465.000000,0.049616
60,53,300,0.003322,0.000148,914893.000000,42016.000000,0.045924
61,54,300,0.003324,0.000143,944791.000000,45483.000000,0.048141
62,55,300,0.003327,0.000120,932329.000000,45321.000000,0.048611
63,56,300,0.003321,0.000154,945304.000000,45798.000000,0.048448
64,57,300,0.003326,0.000173,1039228.000000,51942.000000,0.049981
65,58,300,0.003324,0.000186,1032886.000000,48360.000000,0.046820
66,58,300,0.003321,0.000164,1133446.000000,53434.000000,0.047143
67,58,300,0.003324,0.000188,1048188.000000,52196.000000,0.049796
68,59,300,0.003329,0.000191,1048356.000000,52657.000000,0.050228
69,60,300,0.003315,0.000176,1058672.000000,48376.000000,0.045695
70,61,300,0.003325,0.000200,1039146.000000,48911.000000,0.047068
71,62,300,0.003323,0.000202,1108648.000000,53122.000000,0.047916
72,62,300,0.003320,0.000166,1142516.000000,52724.000000,0.046147
73,63,300,0.003325,0.000180,1096749.000000,52473.000000,0.047844
74,64,300,0.003330,0.000182,1100337.000000,52488.000000,0.047702
75,65,300,0.003321,0.000193,1117960.000000,49320.000000,0.044116
76,65,300,0.003320,0.000181,1104288.000000,52586.000000,0.047620
77,66,300,0.003327,0.000155,1035781.000000,46751.000000,0.045136
78,66,300,0.003323,0.000228,1276225.000000,60004.000000,0.047017
79,67,300,0.003327,0.000217,1217448.000000,59459.000000,0.048839
80,68,300,0.003325,0.000293,1413094.000000,69394.000000,0.049108
81,69,300,0.003324,0.000231,1270141.000000,59804.000000,0.047085
82,70,300,0.003320,0.000231,1287879.000000,60061.000000,0.046636
83,71,300,0.003327,0.000258,1294693.000000,61287.000000,0.047337
84,71,300,0.003315,0.000274,1351410.000000,61448.000000,0.045470
85,72,300,0.003323,0.000261,1263505.000000,57038.000000,0.045143
86,73,300,0.003328,0.000262,1296582.000000,61333.000000,0.047304
87,74,300,0.003320,0.000300,1436989.000000,67738.000000,0.047139
88,75,300,0.003321,0.000237,1310141.000000,61021.000000,0.046576
89,76,300,0.003329,0.000265,1315494.000000,61046.000000,0.046405
90,77,300,0.003322,0.000333,1386076.000000,58827.000000,0.042441
91,78,300,0.003321,0.000257,1389006.000000,61872.000000,0.044544
92,79,300,0.003323,0.000322,1489997.000000,68852.000000,0.046209
93,79,300,0.003324,0.000364,1481701.000000,68661.000000,0.046339
94,80,300,0.003322,0.000320,1474516.000000,68059.000000,0.046157
95,81,300,0.003325,0.000293,1381795.000000,59664.000000,0.043179
96,82,300,0.003318,0.000302,1466093.000000,63676.000000,0.043432
97,83,300,0.003323,0.000270,1415515.000000,62178.000000,0.043926
98,83,300,0.003326,0.000319,1498684.000000,68414.000000,0.045649
99,84,300,0.003318,0.000298,1575264.000000,69402.000000,0.044057
100,85,300,0.003327,0.000290,1480897.000000,64587.000000,0.043613
101,86,300,0.003324,0.000294,1545754.000000,68656.000000,0.044416
102,87,300,0.003322,0.000274,1444596.000000,63095.000000,0.043677
103,88,300,0.003326,0.000270,1450669.000000,61932.000000,0.042692
104,89,300,0.003327,0.000340,1664110.000000,75859.000000,0.045585
105,90,300,0.003325,0.000330,1545958.000000,60904.000000,0.039396
106,91,300,0.003321,0.000260,1422307.000000,57103.000000,0.040148
107,92,300,0.003327,0.000255,1436946.000000,57665.000000,0.040130
108,92,300,0.003319,0.000267,1437136.000000,57875.000000,0.040271
109,93,300,0.003325,0.000299,1606209.000000,64409.000000,0.040100
110,94,300,0.003328,0.000278,1472970.000000,54264.000000,0.036840
111,95,300,0.003319,0.000319,1641418.000000,65299.000000,0.039782
