Approach,Entities @ 60 FPS (mean),Entities @ 60 FPS (std),Entities @ 60 FPS (median),Entities @ 100 FPS (mean),Entities @ 100 FPS (std),Entities @ 100 FPS (median),Entities @ 120 FPS (mean),Entities @ 120 FPS (std),Entities @ 120 FPS (median),Entities @ 240 FPS (mean),Entities @ 240 FPS (std),Entities @ 240 FPS (median),Entities @ 16ms physics (mean),Entities @ 16ms physics (std),Entities @ 16ms physics (median),Entities @ 8ms physics (mean),Entities @ 8ms physics (std),Entities @ 8ms physics (median),Entities @ 4ms physics (mean),Entities @ 4ms physics (std),Entities @ 4ms physics (median),Entities @ 2ms physics (mean),Entities @ 2ms physics (std),Entities @ 2ms physics (median),Entities @ 1ms physics (mean),Entities @ 1ms physics (std),Entities @ 1ms physics (median),Cache miss rate (%) (mean),Cache miss rate (%) (std),Cache miss rate (%) (median),Cache References (mean),Cache References (std),Cache References (median)
record-list,766.49466424634,7.829600114485101,767.3336148648643,595.9529464915764,6.372361758290107,596.920865633075,543.9977772885464,6.570409018253428,545.358993902439,386.08727538913956,4.3873540270222176,386.22524565381707,775.9295334336747,7.157475325915671,777.6023519163764,556.3591074517595,5.581101057319703,556.6521739130435,400.88748641882376,4.1377388744913395,401.48,285.35031149788193,8.397459572891552,287.2638888888889,198.7513006418721,8.90929281565926,199.25641025641028,0.016630991653395117,0.0025808548510300017,0.015963066988220562,28757560.057750005,632806.0788365419,28862129.13261263
collision-entity,750.4078148319827,5.099650257454517,750.3324263038548,583.6934899452832,4.815806800856951,583.5792383292384,532.702607879032,4.854411534583741,533.3374373005016,377.46808514209596,4.571794724069338,377.97507190795784,758.874184199077,5.206170252700643,760.1409796893668,544.3017616138952,3.395680267870575,544.8428381962865,391.79171836874974,4.609129854195831,392.02929292929286,280.8422802497672,7.485371683197951,281.5226244343892,192.6086708032477,8.394505160325371,193.708898944193,0.021610070459447447,0.0002958830215555171,0.021565797679806327,26287834.591279022,252837.60360301347,26270153.964159936
collision-relationship,586.5808580001437,10.033176963149048,587.748526638378,449.0102837990326,11.45761597035687,447.55277777777775,408.202149724366,9.629135889847914,406.8666666666667,283.527044091334,9.552286103230825,282.8808888888889,593.8163069445995,10.25277839802462,593.5729086476777,418.6658776674819,9.319662319025763,417.1635220125786,296.0995503814686,9.083886998205108,295.010749308524,205.59569915158727,11.659300384681387,208.2751515151515,152.71031389864248,8.332128974657014,152.4554767533491,0.035735057291798634,0.002230724271094029,0.03556570679481032,24538034.25465803,665019.1535405515,24583530.73985833
collision-relationship-dontfragment,745.0220878995336,11.52341724468821,749.0996376811595,577.1083363642576,8.847648207878716,579.3769349845204,525.1036084082396,12.31113688229096,528.3096686950641,369.69328966367283,11.091179098399994,373.31746031746036,755.2360067181015,10.507105490814977,758.4040404040404,540.5390955870893,8.816641343771284,542.4778761061947,389.391604206246,5.927019882896578,391.3531713900135,279.88967468547145,6.886264637726568,281.42857142857156,195.9804919746728,7.139301256504788,196.39473684210526,0.018228306975597817,0.004767909527597324,0.01653293329887313,27941049.769196145,689850.7857833061,28031670.74376525
spatial-hash-per-cell,6764.78772486772,205.66294653445632,6793.857142857156,3433.0707142857145,90.14968719955328,3459.0,2638.788552754435,45.09859080615697,2650.000000000002,703.0603174603158,65.41214039297158,719.0833333333288,6713.188388133031,208.9573424549971,6764.0,3141.8144444444447,82.34308555371044,3169.7708333333376,984.3433333333338,21.826530503074153,984.2916666666702,24.9,20.10035168675002,19.5,24.9,20.10035168675002,19.5,0.02026856227524325,0.0027726913139595214,0.01965898071150091,33443828.827382386,737008.131070053,33575919.37541121
spatial-hash-per-entity,5518.320237699406,49.81884564502902,5516.562499999999,3308.5215018315,44.373325275969535,3309.0,2783.785778112592,28.261417249338614,2789.2205882352937,1598.4774715099745,58.50000062228149,1609.0555555555557,5491.244922341696,131.91695825432282,5525.5,3115.2635840455846,45.91594356871073,3123.25,1849.3123383406712,21.871416994368058,1854.0555555555588,1122.005925925925,26.903848587585887,1131.6944444444446,622.8904232804232,32.122523802329304,625.7380952380952,0.032466204125390474,0.001601270958449474,0.031959176101708356,25764872.303521276,200528.75724121882,25739840.194856495
